date,day_of_week,expiry_type,chart,sensex_open,sensex_high,sensex_low,sensex_close,vix_open,vix_close,vix_predicted_move_pct,actual_range_pct,actual_open_close_pct,intraday_high_pct,intraday_low_pct,range_vs_vix_ratio,diff_pct,vix_accuracy
2025-04-29,Tuesday,monthly,▅↓▁↑█↓▃ 📉,80396.92,80661.31,80122.02,80288.38,16.94,17.37,0.91,0.67,-0.14,0.33,-0.34,0.74,-0.24,Overestimated
2025-05-06,Tuesday,weekly,▇↓▁↑█↓▃ 📉,80907.24,80981.58,80481.03,80641.07,18.34,19.0,0.99,0.62,-0.33,0.09,-0.53,0.62,-0.38,Overestimated
2025-05-13,Tuesday,weekly,▇↓▁↑█↓▁ 📉,82249.6,82572.81,81043.69,81148.22,18.39,18.2,0.95,1.86,-1.34,0.39,-1.47,1.95,0.91,Underestimated
2025-05-20,Tuesday,weekly,▇↓▁↑█↓▁ 📉,82116.17,82250.42,81153.7,81186.44,17.36,17.39,0.91,1.34,-1.13,0.16,-1.17,1.47,0.43,Overestimated
2025-05-27,Tuesday,monthly,▆↓▁↑█↓▃ 📉,82038.2,82410.52,81121.7,81551.63,18.02,18.54,0.97,1.57,-0.59,0.45,-1.12,1.62,0.6,Underestimated
2025-06-03,Tuesday,weekly,▆↓▁↑█↓▂ 📉,81492.5,81774.23,80575.09,80737.51,17.16,16.56,0.87,1.47,-0.93,0.35,-1.13,1.7,0.6,Underestimated
2025-06-10,Tuesday,weekly,▇↓▁↑█↓▃ 📉,82643.73,82680.79,82240.4,82391.72,14.69,14.02,0.73,0.53,-0.3,0.04,-0.49,0.73,-0.2,Overestimated
2025-06-17,Tuesday,weekly,█↓▁↑█↓▃ 📉,81869.47,81890.15,81427.01,81583.3,14.84,14.4,0.75,0.57,-0.35,0.03,-0.54,0.75,-0.19,Overestimated
2025-06-24,Tuesday,monthly,▅↓▁↑█↓▂ 📉,82534.61,83018.16,81900.12,82055.11,14.05,13.64,0.71,1.35,-0.58,0.59,-0.77,1.9,0.64,Underestimated
2025-07-01,Tuesday,weekly,▄↓▁↑█↓▄ 📈,83685.66,83874.29,83572.51,83697.29,12.79,12.53,0.66,0.36,0.01,0.23,-0.14,0.55,-0.3,Overestimated
2025-07-08,Tuesday,weekly,▂↓▁↑█↓▇ 📈,83387.03,83812.31,83320.95,83712.51,12.56,12.2,0.64,0.59,0.39,0.51,-0.08,0.92,-0.05,Overestimated
2025-07-15,Tuesday,weekly,▁↓▁↑█↓▆ 📈,82233.16,82743.62,82221.74,82570.91,11.98,11.48,0.6,0.63,0.41,0.62,-0.01,1.06,0.03,Overestimated
2025-07-22,Tuesday,weekly,█↓▁↑█↓▂ 📉,82527.43,82538.17,82110.63,82186.81,11.2,10.75,0.56,0.52,-0.41,0.01,-0.51,0.92,-0.04,Overestimated
2025-07-29,Tuesday,monthly,▁↓▁↑█↓▇ 📈,80620.25,81429.88,80575.45,81337.95,12.06,11.53,0.6,1.06,0.89,1.0,-0.06,1.76,0.46,Overestimated
2025-08-05,Tuesday,weekly,▇↓▁↑█↓▃ 📉,80946.43,81010.49,80554.4,80710.25,11.97,11.71,0.61,0.56,-0.29,0.08,-0.48,0.92,-0.05,Overestimated
2025-08-12,Tuesday,weekly,▄↓▁↑█↓▂ 📉,80508.51,80997.67,80164.36,80235.59,12.22,12.23,0.64,1.04,-0.34,0.61,-0.43,1.62,0.39,Overestimated
2025-08-19,Tuesday,weekly,▁↓▁↑█↓▆ 📈,81319.11,81755.88,81315.44,81644.39,12.34,11.79,0.62,0.54,0.4,0.54,-0.0,0.88,-0.08,Overestimated
2025-08-26,Tuesday,monthly,▇↓▁↑█↓▂ 📉,81377.39,81450.28,80685.98,80786.54,11.76,12.19,0.64,0.94,-0.73,0.09,-0.85,1.47,0.3,Overestimated
2025-09-02,Tuesday,weekly,▆↓▁↑█↓▂ 📉,80520.09,80761.14,80008.5,80157.88,11.29,11.4,0.6,0.93,-0.45,0.3,-0.64,1.57,0.34,Overestimated
2025-09-04,Thursday,weekly,█↓▁↑█↓▂ 📉,81456.67,81456.67,80608.94,80718.01,10.93,10.85,0.57,1.04,-0.91,0.0,-1.04,1.83,0.47,Overestimated
2025-09-11,Thursday,weekly,▁↓▁↑█↓▆ 📈,81217.3,81642.22,81216.91,81548.73,10.54,10.36,0.54,0.52,0.41,0.52,-0.0,0.97,-0.02,Overestimated
