date,day_of_week,expiry_type,csv_move_direction,afternoon_direction,concordance,vix_open,vix_close,vix_bucket,t1_fii_stance,t1_pro_stance,fii_composite,fii_view,pro_composite,pro_view,price_at_2pm,session_close,inflection_time,inflection_price,move_from_inflection_pct,move_from_2pm_pct
2022-07-14,Thursday,weekly,Top to Down,Down to Up,Mismatch,18.52,18.34,Medium (15-20),FII Mildly Bearish,PRO Confident (sold puts >20K),-60505,Bearish,-98778,Bearish,15906.3,15947.95,14:25,15859.2,0.56,0.262
2022-07-21,Thursday,weekly,Down to Up,Down to Up,Match,16.82,16.86,Medium (15-20),FII Mildly Bullish,PRO Bullish (bought fut + sold puts),5996,Neutral,-79094,Bearish,16529.85,16609.8,14:00,16528.5,0.492,0.484
2022-07-28,Thursday,monthly,Down to Up,Top to Down,Mismatch,18.13,17.01,Medium (15-20),FII Bullish (bought fut + sold puts),PRO Confident (sold puts >20K),105490,Strong Bullish,325370,Strong Bullish,16928.1,16922.05,15:10,16943.6,0.127,0.036
2022-08-04,Thursday,weekly,Top to Down,Down to Up,Mismatch,18.45,19.26,Medium (15-20),FII Mildly Bearish,PRO Bullish (bought fut + sold puts),-25654,Neutral,69606,Bullish,17309.8,17364.0,14:05,17265.2,0.572,0.313
2022-08-11,Thursday,weekly,Top to Down,Top to Down,Match,19.59,18.36,Medium (15-20),FII Hedging (bought puts >20K),PRO Mildly Bearish,-90112,Bearish,-59309,Bearish,17661.95,17638.65,14:30,17678.45,0.225,0.132
2022-08-18,Thursday,weekly,Down to Up,Down to Up,Match,17.68,17.35,Medium (15-20),FII Hedging (bought puts >20K),PRO Confident (sold puts >20K),-23569,Neutral,148608,Strong Bullish,17893.45,17964.45,14:00,17884.15,0.449,0.397
2022-08-25,Thursday,monthly,Top to Down,Top to Down,Match,18.43,19.57,Medium (15-20),FII Bearish (sold fut >10K),PRO Bullish (bought fut + sold puts),23037,Neutral,26216,Neutral,17695.1,17508.2,14:00,17699.9,1.083,1.056
2022-09-01,Thursday,weekly,Down to Up,Down to Up,Match,18.7,19.87,Medium (15-20),FII Neutral,PRO Neutral,0,Neutral,0,Neutral,17472.65,17563.25,14:05,17469.0,0.54,0.519
2022-09-08,Thursday,weekly,Down to Up,Down to Up,Match,19.37,18.31,Medium (15-20),FII Hedging (bought puts >20K),PRO Confident (sold puts >20K),-32073,Mildly Bearish,-41104,Mildly Bearish,17728.65,17800.1,14:00,17727.8,0.408,0.403
2022-09-15,Thursday,weekly,Top to Down,Top to Down,Match,18.28,18.39,Medium (15-20),FII Very Bearish (sold fut >10K + bought puts >20K),PRO Bullish (bought fut + sold puts),-122125,Strong Bearish,-44906,Mildly Bearish,17906.3,17872.3,14:40,17962.4,0.502,0.19
