date,day_of_week,expiry_type,chart,nifty_open,nifty_high,nifty_low,nifty_close,vix_open,vix_close,vix_predicted_move_pct,actual_range_pct,actual_open_close_pct,intraday_high_pct,intraday_low_pct,range_vs_vix_ratio,diff_pct,vix_accuracy,move_direction,close_in_prev_range,prev_close_to_close_pct,fii_fut_idx_net,fii_call_net,fii_put_net,FII_Direction,DII_Direction,Pro_Direction,Client_Direction,Nifty_Close,Nifty_Change_Pct,Market_Direction,FII_Correct,t1_fii_fut_idx_net,t1_fii_call_net,t1_fii_put_net,t1_FII_Direction,fii_pcr,fii_net_sentiment,fii_put_change,is_blowout,fii_direction_matches_market,consensus_count,t1_fii_pcr,vix_change
2026-03-17,Tuesday,weekly,▄↓▁↑█↓▆ 📈,23493.2,23656.8,23346.6,23581.15,21.6,19.79,1.13,1.32,0.37,0.7,0.62,1.17,0.19,Overestimated,Down to Up,No,-1.2,-240775,-164648,388744,Neutral,Neutral,Neutral,Neutral,23581.150390625,0.83,Bullish,,-248769,-244680,426100,Neutral,2.3610611729264854,-794167,-27643.0,0,0,0,1.741458231159065,-1.8100000000000023
2026-03-24,Tuesday,weekly,▅↓▁↑█↓▆ 📈,22878.45,23057.3,22624.2,22912.4,26.73,24.74,1.4,1.89,0.15,0.78,1.11,1.35,0.49,Overestimated,Down to Up,No,-3.64,-248712,-263791,421071,Neutral,Bullish,Neutral,Neutral,22912.400390625,1.72,Bullish,,-243961,-254875,439270,Bearish,1.5962295908503323,-933574,32327.0,0,0,1,1.7234722903384012,-1.990000000000002
2026-03-30,Monday,monthly,▅↓▁↑█↓▂ 📉,22549.65,22714.1,22283.85,22331.4,26.8,27.89,1.4,1.91,0.97,0.73,1.18,1.36,0.5,Underestimated,Top to Down,No,-0.81,-264046,-232437,363572,Neutral,Bullish,Neutral,Neutral,22331.400390625,1.56,Bullish,,-279467,-210546,408479,Bearish,1.564174378433726,-860055,-57499.0,1,0,1,1.9400938512249104,1.0899999999999999
2026-04-07,Tuesday,weekly,▃↓▁↑█→█ 📈,22838.7,23153.85,22719.3,23123.65,25.47,24.7,1.33,1.9,1.25,1.38,0.52,1.43,0.57,Underestimated,Down to Up,No,3.55,-259435,-206744,320809,Neutral,Neutral,Neutral,Neutral,23123.650390625,3.78,Bullish,,-268462,-232653,317928,Neutral,1.551720968927756,-786988,-42763.0,1,0,0,1.3665329911928925,-0.7699999999999996
2026-04-13,Monday,weekly,▂↓▁↑█↓▇ 📈,23589.6,23907.4,23555.6,23842.65,18.85,20.5,0.99,1.49,1.07,1.35,0.14,1.51,0.5,Underestimated,Down to Up,No,3.11,-208354,-150994,341221,Neutral,Bullish,Bullish,Bearish,23842.650390625,1.63,Bullish,,-206227,-178598,333261,Neutral,2.2598315164840987,-700569,20412.0,1,0,2,1.8659839415894914,1.6499999999999986
2026-04-21,Tuesday,weekly,▂↓▁↑█↓▇ 📈,24374.55,24601.7,24354.9,24576.6,18.79,17.53,0.98,1.01,0.83,0.93,0.08,1.03,0.03,Overestimated,Down to Up,No,1.43,-173948,-131313,300331,Neutral,Neutral,Bullish,Bearish,24576.599609375,-0.81,Bearish,,-189761,-180010,296845,Bearish,2.287138364061441,-605592,-40890.0,0,0,1,1.6490472751513805,-1.259999999999998
2026-04-28,Tuesday,monthly,▄↓▁↑█↓▂ 📉,24049.9,24181.8,23957.05,23995.7,18.38,18.05,0.96,0.93,0.23,0.55,0.39,0.97,-0.03,Overestimated,Top to Down,No,-1.57,-170678,-201818,343512,Neutral,Neutral,Neutral,Neutral,23995.69921875,0.76,Bullish,,-205981,-204579,327754,Neutral,1.702088019899117,-716008,43181.0,0,0,0,1.6020901461049277,-0.3299999999999983
2026-05-05,Tuesday,weekly,▇↓▁↑█↓▆ 📉,24052.6,24081.7,23882.05,24032.8,18.3,17.91,0.96,0.83,0.08,0.12,0.71,0.87,-0.13,Overestimated,Top to Down,Yes,0.15,-198133,-207484,382291,Bearish,Neutral,Bullish,Bearish,24032.80078125,1.24,Bullish,Incorrect,-192572,-186566,351232,Neutral,1.842508337992327,-787908,38779.0,0,0,1,1.8826152675192693,-0.39000000000000057
2026-05-12,Tuesday,weekly,▇↓▁↑█↓▂ 📉,23722.6,23757.55,23348.4,23379.55,18.55,19.28,0.97,1.72,1.45,0.15,1.58,1.78,0.75,Underestimated,Top to Down,No,-3.91,-237144,-250003,475949,Bearish,Bullish,Neutral,Neutral,23379.55078125,0.14,Bullish,Incorrect,-220969,-298757,412595,Bearish,1.9037731547221433,-963096,93658.0,1,0,1,1.3810387706396838,0.7300000000000004
2026-05-19,Tuesday,weekly,▄↓▁↑█↓▂ 📉,23675.3,23782.3,23587.2,23618.0,19.63,18.68,1.03,0.82,0.24,0.45,0.37,0.8,-0.2,Overestimated,Top to Down,No,0.88,-216280,-205334,427803,Neutral,Bullish,Neutral,Neutral,23618.0,0.17,Bullish,,-209866,-214366,403164,Neutral,2.0834494043850507,-849417,-48146.0,0,0,1,1.8807273541513112,-0.9499999999999993
2026-05-26,Tuesday,monthly,▅↓▁↑█↓▂ 📉,24004.1,24089.8,23885.45,23913.7,16.7,16.13,0.87,0.85,0.38,0.36,0.49,0.97,-0.02,Overestimated,Top to Down,No,1.08,-152865,-200355,434742,Neutral,Bullish,Neutral,Neutral,23913.69921875,-0.03,Bearish,,-214977,-43834,355458,Bullish,2.1698585011604403,-787962,6939.0,0,0,0,8.109184651184012,-0.5700000000000003
2026-06-02,Tuesday,weekly,▁↑▁↑█↓▆ 📈,23229.15,23556.95,23229.15,23483.55,16.54,15.36,0.87,1.41,1.1,1.41,0.0,1.63,0.55,Underestimated,Down to Up,No,-1.8,-230096,-279783,495102,Bearish,Neutral,Bullish,Bearish,23483.55078125,-0.33,Bearish,Correct,-223180,-253687,494046,Neutral,1.7695928630402848,-1004981,60360.0,1,1,2,1.9474628183549019,-1.1799999999999997
2026-06-09,Tuesday,weekly,▇↓▁↑█↓▇ 📉,23259.05,23279.4,23104.45,23242.1,17.03,15.58,0.89,0.75,0.07,0.09,0.66,0.84,-0.14,Overestimated,Top to Down,Yes,-0.7,-277001,-266470,527058,Neutral,Bullish,Bullish,Bearish,23242.099609375,-0.12,Bearish,,-277614,-293936,549435,Bearish,1.9779262205876835,-1070529,31956.0,0,0,1,1.8692334385716618,-1.450000000000001
2026-06-16,Tuesday,weekly,▃↓▁↑█↓▇ 📈,23923.9,24002.6,23888.2,23989.15,14.35,13.36,0.75,0.48,0.27,0.33,0.15,0.64,-0.27,Overestimated,Down to Up,No,3.33,-229600,-232022,551288,Bullish,Neutral,Bullish,Bearish,23989.150390625,0.4,Bullish,Correct,-241241,-252327,545186,Neutral,2.3760160674418804,-1012910,24230.0,0,1,2,2.1606328296218797,-0.9900000000000002
2026-06-23,Tuesday,weekly,▇↓▁↑█↓▂ 📉,24071.3,24135.5,23784.95,23824.1,12.84,13.94,0.67,1.46,1.03,0.27,1.19,2.17,0.78,Underestimated,Top to Down,No,-1.09,-228561,-274993,672256,Neutral,Bullish,Bearish,Neutral,23824.099609375,0.83,Bullish,,-222784,-295482,646742,Neutral,2.4446294996599915,-1175810,120968.0,1,0,1,2.188769535876974,1.0999999999999996
2026-06-30,Tuesday,monthly,█↓▁↑█↓▂ 📉,24032.05,24035.55,23829.2,23865.75,13.61,13.6,0.71,0.86,0.69,0.01,0.84,1.21,0.15,Overestimated,Top to Down,Yes,0.17,-256410,-233098,532536,Bullish,Neutral,Neutral,Bearish,23865.75,0.59,Bullish,Correct,-234451,-245372,616220,Neutral,2.2846013264807077,-1022044,-139720.0,0,1,1,2.5113704905205156,-0.009999999999999787
2026-07-07,Tuesday,weekly,▅↓▁↑█↓▃ 📉,24464.45,24530.9,24348.95,24398.7,11.82,11.65,0.62,0.74,0.27,0.27,0.47,1.2,0.12,Overestimated,Top to Down,No,1.64,-238838,-188521,443783,Bullish,Bullish,Neutral,Neutral,24398.69921875,-2.12,Bearish,Incorrect,-241279,-188653,457027,Bullish,2.354024220113409,-871142,-88753.0,0,0,0,2.4225800808892517,-0.16999999999999993
2026-07-14,Tuesday,weekly,▃↓▁↑█↓▂ 📉,24068.0,24157.1,24023.7,24052.05,13.28,13.75,0.7,0.55,0.07,0.37,0.18,0.8,-0.14,Overestimated,Top to Down,Yes,0.71,-265465,-179134,498324,Neutral,Neutral,Neutral,Neutral,24052.05078125,0.11,Bullish,,-255113,-176174,454159,Bullish,2.781850458316121,-942923,54541.0,0,0,0,2.577900257699774,0.47000000000000064
2026-07-21,Tuesday,weekly,▅↓▁↑█↓▄ 📉,24216.05,24262.2,24135.65,24187.7,12.98,12.6,0.68,0.52,0.12,0.19,0.33,0.77,-0.16,Overestimated,Top to Down,Yes,0.45,-228847,-170055,508927,Neutral,Bullish,Neutral,Neutral,24187.69921875,-0.79,Bearish,,-219823,-149857,410533,Neutral,2.99272000235218,-907829,10603.0,0,0,0,2.739498321733386,-0.3800000000000008
